,id,title,thumbnail.alt_text,date_start,date_end,date_display,artist_display,place_of_origin,dimensions,medium_display,credit_line,department_title,artist_title,classification_title
984,14591,Woman Reading,A young woman in a dark hat and coat with light ruffled collar sits reading a large periodical held up in her gloved hands. Flowers and foliage are suggested behind her.,1880.0,1881.0,1880/81,"Édouard Manet
French, 1832-1883",France,61.2 × 50.7 cm (24 1/16 × 19 7/8 in.),Oil on canvas,Mr. and Mrs. Lewis Larned Coburn Memorial Collection,Painting and Sculpture of Europe,Édouard Manet,oil on canvas
985,14594,Portrait of a Woman with a Black Fichu,A work made of oil on canvas.,1873.0,1883.0,c. 1878,"Édouard Manet
French, 1832-1883",Paris,62.2 × 51.2 cm (24 1/2 × 20 1/8 in.),Oil on canvas,Mr. and Mrs. Lewis Larned Coburn Memorial Collection,Painting and Sculpture of Europe,Édouard Manet,painting
986,15243,The Tragic Actor (Rouvière in the role of Hamlet),"Black print on cream paper of a bearded man standing at center, dressed in a large cloak and tights, a sword at his feet.",1865.0,1866.0,1865–66,"Édouard Manet
French, 1832-1883",France,299 × 161 mm (image); 326 × 178 mm (plate); 369 × 221 mm (sheet),Etching and plate tone in black on ivory laid paper,John H. Wrenn Memorial Collection,Prints and Drawings,Édouard Manet,etching
987,16499,Jesus Mocked by the Soldiers,"Large, dark painting of Jesus sitting with three standing soldiers.",1865.0,1865.0,1865,"Édouard Manet
French, 1832–1883",France,190.8 × 148.3 cm (74 7/8 × 58 3/8 in.),Oil on canvas,Gift of James Deering,Painting and Sculpture of Europe,Édouard Manet,painting
988,18667,Portrait of Berthe Morisot with a Fan,A work made of watercolor over traces of graphite on cream wove paper.,1874.0,1874.0,1874,"Édouard Manet
French, 1832-1883",France,209 × 168 mm,Watercolor over traces of graphite on cream wove paper,Helen Regenstein Collection,Prints and Drawings,Édouard Manet,watercolor
989,21082,"Profile of Eva Gonzales, Turned to the Left",A work made of etching with plate tone in black on cream laid paper.,1870.0,1870.0,1870,"Édouard Manet
French, 1832-1883",France,241 × 161 mm (image); 241 × 161 mm (plate); 388 × 257 mm (sheet),Etching with plate tone in black on cream laid paper,Albert H. Wolf Memorial Collection,Prints and Drawings,Édouard Manet,etching
990,21085,Jeanne (Spring),A work made of etching and foul-biting in black on ivory laid paper.,1902.0,1902.0,1902,"Henri Charles Guérard (French, 1846-1897)
after Édouard Manet (French, 1832-1883)
published by Alfred Porcabeuf (French, 19th-20th centuries)",France,155 × 107 mm (image); 243 × 182 mm (plate); 280 × 203 mm (sheet),Etching and foul-biting in black on ivory laid paper,Albert H. Wolf Memorial Collection,Prints and Drawings,Édouard Manet,etching
991,25758,The Philosopher,A work made of etching and drypoint in warm black on blue laid paper.,1865.0,1866.0,1865–66,"Édouard Manet (French, 1832-1883)
printed by Louis Dumont (French, 19th century)",France,271 × 164 mm (image); 318 × 236 mm (plate); 463 × 349 mm (sheet),Etching and drypoint in warm black on blue laid paper,Print and Drawing Fund,Prints and Drawings,Édouard Manet,etching
992,26698,"The Boy with a Sword, Turned to the Left III","A work made of etching, aquatint and drypoint, with roulette, in black on ivory laid paper.",1862.0,1862.0,1862,"Édouard Manet
French, 1832-1883",France,262 × 174 mm (image); 317 × 237 mm (plate); 385 × 289 mm (sheet),"Etching, aquatint and drypoint, with roulette, in black on ivory laid paper",Deering Print Fund,Prints and Drawings,Édouard Manet,etching
993,26715,Seated Nude,A work made of red chalk on buff laid paper.,1858.0,1860.0,1858/60,"Édouard Manet
French, 1832-1883",France,280 × 200 mm,Red chalk on buff laid paper,Purchased with funds provided by the Joseph and Helen Regenstein Foundation,Prints and Drawings,Édouard Manet,chalk
994,29392,Boy with Pitcher (La Régalade),A work made of oil on canvas.,1858.0,1877.0,1862/72,"Édouard Manet
French, 1832-1883",France,61.8 × 54.3 cm (24 5/16 × 21 3/8 in.),Oil on canvas,Bequest of Katharine Dexter McCormick,Painting and Sculpture of Europe,Édouard Manet,painting
995,33319,Berthe Morisot,A work made of etching in brown on blue laid paper.,1872.0,1872.0,1872,"Édouard Manet (French, 1832-1883)
published by Louis Dumont (French, 19th century)",France,120 × 80 mm (image/plate); 320 × 249 mm (sheet),Etching in brown on blue laid paper,Purchased with funds provided by Frank B. Hubachek,Prints and Drawings,Édouard Manet,etching
996,44892,Fish (Still Life),"Still-life painting, fish, open oysters, eel, lemon on tablecloth.",1864.0,1864.0,1864,"Édouard Manet
French, 1832-1883",France,73.5 × 92.4 cm (28 15/16 × 36 3/8 in.),Oil on canvas,Mr. and Mrs. Lewis Larned Coburn Memorial Collection,Painting and Sculpture of Europe,Édouard Manet,oil on canvas
997,45380,"Charles Baudelaire, Full Face III",A work made of etching in black on ivory laid paper.,1869.0,1869.0,1869,"Édouard Manet (French, 1832-1883)
after Nadar Gaspard Félix Tournachon (French, 1820 - 1910)
printed by Andre Salmon (French, 1880-1969)",France,90 × 76 mm (image); 96 × 82 mm (plate); 292 × 203 mm (sheet),Etching in black on ivory laid paper,Gift of Dr. Joel Handler,Prints and Drawings,Édouard Manet,etching
998,45808,The Toilette,A work made of etching in black on ivory laid chinese paper.,1862.0,1862.0,1862,"Édouard Manet
French, 1832-1883",France,285 × 222 mm (image/plate); 343 × 263 mm (sheet),Etching in black on ivory laid Chinese paper,Purchased with funds provided by Mrs. Leigh Block and Mr. and Mrs. William O. Hunt,Prints and Drawings,Édouard Manet,etching
999,46782,Exotic Flower (Woman in a Mantilla),A work made of etching and aquatint in warm black on ivory laid paper.,1868.0,1868.0,1868,"Édouard Manet (French, 1832-1883)
published by Philippe Burty (French, 1830-1890)
written by Armand Renaud (French, 1836-1895)",France,162 × 106 mm (image); 175 × 116 mm (plate); 353 × 257 mm (sheet),Etching and aquatint in warm black on ivory laid paper,The Charles Deering Collection,Prints and Drawings,Édouard Manet,etching
1000,46785,Exotic Flower (Woman in a Mantilla),"A work made of etching and aquatint in brown on ivory chine, laid down on ivory wove paper (chine collé).",1868.0,1868.0,1868,"Édouard Manet (French, 1832-1883)
published by Philippe Burty (French, 1830-1890)
written by Armand Renaud (French, 1836-1895)",France,162 × 106 mm (image); 174 × 116 mm (plate/primary support); 387 × 274 mm (secondary support),"Etching and aquatint in brown on ivory chine, laid down on ivory wove paper (chine collé)",The Charles Deering Collection,Prints and Drawings,Édouard Manet,etching
1001,46789,Berthe Morisot in Silhouette,"A work made of lithograph in black on chine, laid down on ivory wove paper (chine collé).",1872.0,1874.0,1872–74,"Édouard Manet
French, 1832-1883",France,189 × 133 mm (image); 240 × 173 mm (primary support); 402 × 285 mm (secondary support),"Lithograph in black on chine, laid down on ivory wove paper (chine collé)",The Charles Deering Collection,Prints and Drawings,Édouard Manet,lithograph
1002,46792,Berthe Morisot in Black,"A work made of lithograph in black, with scraping, on off-white chine, laid down on ivory wove paper.",1872.0,1874.0,1872–74,"Édouard Manet
French, 1832-1883",France,204 × 142 mm (image); 241 × 174 mm (primary support); 422 × 315 mm (secondary support),"Lithograph in black, with scraping, on off-white chine, laid down on ivory wove paper",The Charles Deering Collection,Prints and Drawings,Édouard Manet,lithograph
1003,47136,Punch,"A work made of lithograph printed in color from seven stones (beige, orange, green, yellow, light blue, white, black), with scraping, on ivory wove paper.",1874.0,1874.0,1874,"Édouard Manet
French, 1832-1883",France,462 × 336 mm (image); 619 × 445 mm (sheet),"Lithograph printed in color from seven stones (beige, orange, green, yellow, light blue, white, black), with scraping, on ivory wove paper",Gift of Mrs. Tiffany Blake,Prints and Drawings,Édouard Manet,lithograph
1004,52687,The rue Mosnier with Gas Lamp,"A work made of brush with tusche, over graphite on transfer paper, laid down on cream wove paper.",1878.0,1878.0,1878,"Édouard Manet
French, 1832-1883",France,277 × 441 mm,"Brush with tusche, over graphite on transfer paper, laid down on cream wove paper",Gift of Mrs. Alice H. Patterson given in memory of Tiffany Blake,Prints and Drawings,Édouard Manet,pen and ink drawings
1005,55507,Civil War,"A work made of lithograph in black, with scraping, on ivory chine  with red and blue fibers laid down on ivory wove paper (chine collé).",1871.0,1873.0,1871/73,"Édouard Manet (French, 1832-1883)
printed by Lemercier et Compagnie (French, 19th century)",France,398 × 507 mm (image); 400 × 510 mm (primary support); 490 × 609 mm (secondary support),"Lithograph in black, with scraping, on ivory chine  with red and blue fibers laid down on ivory wove paper (chine collé)",John H. Wrenn Fund,Prints and Drawings,Édouard Manet,lithograph
1006,60960,The Little Girl,A work made of etching and drypoint with plate tone in brown on ivory laid paper.,1861.0,1862.0,1861–62,"Édouard Manet
French, 1832-1883",France,207 × 119 mm (image/plate); 420 × 301 mm (sheet),Etching and drypoint with plate tone in brown on ivory laid paper,William McCallin McKee Memorial Endowment,Prints and Drawings,Édouard Manet,etching
1007,60964,Line in Front of the Butcher Shop,A work made of etching in warm black on buff laid paper.,1870.0,1871.0,1870–71,"Édouard Manet (French, 1832-1883)
published by Alfred Strölin (Swiss, 19th-20th centuries)",France,169 × 150 mm (image); 237 × 159 mm (plate); 434 × 297 mm (sheet),Etching in warm black on buff laid paper,William McCallin McKee Memorial Endowment,Prints and Drawings,Édouard Manet,etching
1008,61725,The Ballet Dancer (Don Mariano Camprubi),A work made of etching in brown on cream laid paper.,1862.0,1863.0,1862–63,"Édouard Manet
French, 1832-1883",France,255 × 157 mm (image); 298 × 198 mm (plate); 447 × 322 mm (sheet),Etching in brown on cream laid paper,Given in memory of Charles Barnett Goodspeed by Mrs. Charles B. Goodspeed,Prints and Drawings,Édouard Manet,etching
1009,61727,Lola de Valence,"A work made of etching and aquatint, with roulette, in black on cream laid paper.",1863.0,1863.0,1863,"Édouard Manet (French, 1832-1883)
poetry by Charles Baudelaire (French, 1821-1867)",France,"233 × 160 mm (image, without poem); 264 × 184 mm (plate); 447 × 325 mm (sheet)","Etching and aquatint, with roulette, in black on cream laid paper",Given in memory of Charles Barnett Goodspeed by Mrs. Charles B. Goodspeed,Prints and Drawings,Édouard Manet,etching
1010,62270,The Boy Carrying a Tray,A work made of etching and aquatint in black on cream japanese paper.,1862.0,1862.0,1862,"Édouard Manet
French, 1832-1883",France,222 × 145 mm (image); 241 × 159 mm (plate); 467 × 298 mm (sheet),Etching and aquatint in black on cream Japanese paper,John H. Wrenn Fund,Prints and Drawings,Édouard Manet,etching
1011,62328,The Cats,A work made of etching and aquatint with plate tone in warm black on cream laid paper.,1868.0,1869.0,1868–69,"Édouard Manet (French, 1832-1883)
published by Alfred Strölin (Swiss, 19th-20th centuries)",France,173 × 218 mm (image); 180 × 226 mm (plate); 290 × 411 mm (sheet),Etching and aquatint with plate tone in warm black on cream laid paper,Anonymous gift,Prints and Drawings,Édouard Manet,etching
1012,68825,The Cats' Rendezvous,"A work made of lithograph in black on ivory wove paper, laid down on ivory cloth.",1868.0,1868.0,1868,"Édouard Manet
French, 1832-1883",France,439 × 334 mm (image); 478 × 369 mm (sheet),"Lithograph in black on ivory wove paper, laid down on ivory cloth",John H. Wrenn Fund,Prints and Drawings,Édouard Manet,reproduction
1013,69033,Dead Toreador,"A work made of etching, aquatint, and drypoint in black on buff laid paper.",1867.0,1868.0,1867–68,"Édouard Manet
French, 1832-1883",France,97 × 195 mm (image); 108 × 205 mm (plate); 157 × 233 mm (sheet),"Etching, aquatint, and drypoint in black on buff laid paper",Purchased with funds provided by Dr. Eugene A. Solow; William McCallin McKee Memorial and Joseph T. Ryerson endowments; Print and Drawing Club Fund,Prints and Drawings,Édouard Manet,etching
1014,72667,The Little Cavaliers,"A work made of etching, drypoint, roulette, and bitten tone in black on gray chine, laid down on ivory wove paper (chine collé).",1860.0,1860.0,1860,"Édouard Manet (French, 1832-1883)
after Diego Velázquez (Spanish, 1599-1660)
printed by Auguste Delâtre (French, 1822-1907)
published by Cadart et Chevalier Editeurs (French, 19th century)",France,240 × 380 mm (image); 248 × 391 mm (plate); 242 × 383 mm (primary support) 319 × 448 mm (secondary support),"Etching, drypoint, roulette, and bitten tone in black on gray chine, laid down on ivory wove paper (chine collé)",Robert A. Waller Fund,Prints and Drawings,Édouard Manet,etching
1015,72673,The Urchin,"A work made of lithograph in black, with scraping, on ivory chine with red and blue fibers, laid down on ivory wove paper (chine collé).",1868.0,1874.0,1868–74,"Édouard Manet (French, 1832-1883)
printed by Lemercier et Compagnie (French, 19th century)",France,"288 × 229 mm (image/primary support, including stray marks); 439 × 359 mm (secondary support)","Lithograph in black, with scraping, on ivory chine with red and blue fibers, laid down on ivory wove paper (chine collé)",Robert A. Waller Fund,Prints and Drawings,Édouard Manet,lithograph
1016,72711,Lola de Valence,A work made of lithograph in black on light gray wove paper.,1863.0,1863.0,1863,"Édouard Manet (French, 1832-1883)
composed by Zacharie Astruc (French, 1835-1907)
printed by Lemercier et Compagnie (French, 19th century)",France,"241 × 212 mm (image); 342 × 241 mm (sheet, folded); 342 × 483 mm (sheet, unfolded)",Lithograph in black on light gray wove paper,Robert A. Waller Fund,Prints and Drawings,Édouard Manet,lithograph
1017,72896,Head of a Woman and Head of a Bearded Man,A work made of watercolor with pen and brown ink and graphite on cream wove paper.,1880.0,1880.0,1880,"Édouard Manet
French, 1832-1883",France,201 × 124 mm,Watercolor with pen and brown ink and graphite on cream wove paper,Gift of Mrs. Gilbert W. Chapman,Prints and Drawings,Édouard Manet,ink or chalk wash
1018,79493,Lola de Valence,A work made of etching in black on ivory laid japanese paper.,1863.0,1863.0,1863,"Édouard Manet
French, 1832-1883",France,236 × 159 mm (image); 260 × 181 mm (plate); 269 × 195 mm (sheet),Etching in black on ivory laid Japanese paper,John H. Wrenn Fund,Prints and Drawings,Édouard Manet,etching
1019,79494,In the Upper Gallery,A work made of gillotage in black on trimmed gray wove china paper.,1877.0,1877.0,1877,"Édouard Manet (French, 1832-1883)
printed by Lefman et Compagnie (French, 19th century)",France,"245 × 340 mm (image, including printed border); 257 × 381 mm (sheet)",Gillotage in black on trimmed gray wove China paper,John H. Wrenn Fund,Prints and Drawings,Édouard Manet,relief etching
1020,79898,The Absinthe Drinker,A work made of etching and plate tone in black on ivory laid paper.,1862.0,1862.0,1862,"Édouard Manet
French, 1832-1883",France,248 × 145 mm (image); 289 × 161 mm (plate); 291 × 164 mm (sheet),Etching and plate tone in black on ivory laid paper,William McCallin McKee Memorial Endowment,Prints and Drawings,Édouard Manet,etching
1021,80721,The Spanish Singer,"A work made of etching, lavis and roulette in black on ivory china paper.",1861.0,1862.0,1861–62,"Édouard Manet (French, 1832-1883)
printed by Auguste Delâtre (French, 1822-1907)",France,298 × 242 mm (image); 298 × 244 mm (plate); 340 × 320 mm (sheet),"Etching, lavis and roulette in black on ivory China paper",J. W. Loewenthal Fund,Prints and Drawings,Édouard Manet,etching
1022,80723,The Urchin,"A work made of lithograph in black, with scraping, on chine with blue and red fibers, laid down on ivory wove paper (chine collé).",1868.0,1874.0,1868–74,"Édouard Manet (French, 1832-1883)
printed by Lemercier et Compagnie (French, 19th century)",France,"286 × 229 mm (image/primary support, including stray marks); 444 × 346 mm (secondary support)","Lithograph in black, with scraping, on chine with blue and red fibers, laid down on ivory wove paper (chine collé)",Edward G. Uihlein Fund,Prints and Drawings,Édouard Manet,lithograph
1023,80873,Boy Blowing Soap Bubbles,"A work made of etching and aquatint, with roulette, with color applied à la poupée, on cream wove paper.",1868.0,1869.0,late 1868/early 1869,"Édouard Manet (French, 1832-1883)
printed by Henri Charles Guérard (French, 1846-1897)",France,195 × 161 mm (image); 250 × 211 (plate); 379 × 263 mm (sheet),"Etching and aquatint, with roulette, with color applied à la poupée, on cream wove paper",Albert Roullier Memorial Collection,Prints and Drawings,Édouard Manet,etching
1024,81533,The Races at Longchamp,A work made of oil on canvas.,1866.0,1866.0,1866,"Édouard Manet
French, 1832-1883",France,44.0 × 84.2 cm (17 5/16 × 33 1/8 in.),Oil on canvas,Potter Palmer Collection,Painting and Sculpture of Europe,Édouard Manet,oil on canvas
1025,81535,"Sea View, Calm Weather (Vue de mer, temps calme)",A work made of oil on canvas.,1864.0,1865.0,1864,"Édouard Manet
French, 1832-1883",France,29 × 36 1/2 in. (73.6 × 92.6 cm),Oil on canvas,Potter Palmer Collection,Painting and Sculpture of Europe,Édouard Manet,painting
1026,82079,Olympia (published plate),A work made of etching in black on blue laid paper.,1867.0,1867.0,1867,"Édouard Manet
French, 1832-1883",France,88 × 177 mm (image); 88 × 179 mm (plate); 187 × 245 mm (sheet),Etching in black on blue laid paper,Bequest of Walter S. Brewster,Prints and Drawings,Édouard Manet,etching
1027,84398,The Little Cavaliers,"A work made of etching, drypoint, roulette and bitten tone in black on ivory japanese paper, laid down on tan wove paper (chine collé).",1867.0,1874.0,1867/74,"Édouard Manet (French, 1832-1883)
after Diego Velázquez (Spanish, 1599-1660)",France,240 × 382 mm (image); 250 × 390 mm (plate); 334 × 486 mm (primary support); 337 × 497 mm (secondary support),"Etching, drypoint, roulette and bitten tone in black on ivory Japanese paper, laid down on tan wove paper (chine collé)",Carter H. Harrison and Prints and Drawings Club Funds,Prints and Drawings,Édouard Manet,etching
1028,84520,The Absinthe Drinker,A work made of etching and aquatint in black on cream japanese laid paper.,1862.0,1862.0,1867–68 or 1874,"Édouard Manet (French, 1832-1883)
assisted by Félix Henri Bracquemond (French, 1833-1914)
published by (possibly) Alfred Porcabeuf (French, 19th-20th centuries)",France,252 × 145 mm (image); 290 × 161 mm (plate); 364 × 260 mm (sheet),Etching and aquatint in black on cream Japanese laid paper,Gift of the Print and Drawing Club,Prints and Drawings,Édouard Manet,etching
1029,90258,Portrait of Alphonse Maureau,"A work made of pastel on canvas, prepared with an off-white ground.",1878.0,1879.0,1878/79,"Édouard Manet
French, 1832-1883",France,547 × 452 mm,"Pastel on canvas, prepared with an off-white ground",Bequest of Kate L. Brewster,Prints and Drawings,Édouard Manet,pastel
1030,103097,Phillip IV King of Spain,"A work made of etching, drypoint and retroussage inking in black on ivory chine, laid down on ivory wove paper (chine collé).",1862.0,1862.0,1862,"Édouard Manet (French, 1832-1883)
after Diego Velázquez (Spanish, 1599-1660)",France,319 × 202 mm (image); 356 × 239 mm (plate); 318 × 198 mm (primary support); 472 × 318 mm (secondary support),"Etching, drypoint and retroussage inking in black on ivory chine, laid down on ivory wove paper (chine collé)",Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1031,103098,M. Manet (The Artist's Father) II,"A work made of etching, aquatint and plate tone in black on ivory laid paper.",1861.0,1861.0,1861,"Édouard Manet
French, 1832-1883",France,187 × 156 mm (image/plate); 357 × 267 mm (sheet),"Etching, aquatint and plate tone in black on ivory laid paper",Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1032,103099,"Victorine Meurent in the Costume of an ""Espada""",A work made of etching in black and lavis in warm gray on ivory laid paper.,1862.0,1862.0,1862,"Édouard Manet
French, 1832-1883",France,305 × 238 mm (image); 338 × 278 mm (plate); 524 × 359 mm (sheet),Etching in black and lavis in warm gray on ivory laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1033,103100,Dead Christ with Angels,A work made of etching and aquatint in black on ivory laid paper.,1866.0,1867.0,1866/67,"Édouard Manet
French, 1832-1883",France,395 × 325 mm (image/plate); 542 × 365 mm (sheet),Etching and aquatint in black on ivory laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1034,103101,Marine,"A work made of etching, aquatint and roulette in brown on ivory laid paper.",1865.0,1866.0,1865–66,"Édouard Manet
French, 1832-1883",France,124 × 180 mm (image); 140 × 200 mm (plate); 181 × 283 mm (sheet),"Etching, aquatint and roulette in brown on ivory laid paper",Clarence Buckingham Collection and purchased with funds provided by Edward McCormick Blair,Prints and Drawings,Édouard Manet,etching
1035,103102,"Charles Baudelaire, Full Face III",A work made of etching and plate tone in black heightened with brush and gray wash on ivory laid paper.,1868.0,1868.0,1868,"Édouard Manet (French, 1832-1883)
after Nadar Gaspard Félix Tournachon (French, 1820-1910)",France,166 × 98 mm (image); 170 × 103 mm (plate); 172 × 114 mm (sheet),Etching and plate tone in black heightened with brush and gray wash on ivory laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1036,103103,Olympia (published plate),A work made of etching and aquatint in black on cream laid paper.,1867.0,1867.0,1867,"Édouard Manet
French, 1832-1883",France,87 × 207 mm (image/plate); 158 × 227 mm (sheet),Etching and aquatint in black on cream laid paper,Purchased with funds provided by Edward McCormick Blair,Prints and Drawings,Édouard Manet,etching
1037,103104,Portrait of Félix Bracquémond,A work made of lift-ground etching with plate tone in black on cream laid paper.,1865.0,1865.0,1865,"Édouard Manet
French, 1832-1883",France,160 × 104 mm (image); 169 × 112 mm (plate); 304 × 222 mm (sheet),Lift-ground etching with plate tone in black on cream laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1038,103105,The Philosopher,A work made of etching and drypoint in warm black on ivory laid paper.,1865.0,1866.0,1865–66,"Édouard Manet
French, 1832-1883",France,269 × 163 mm (image); 317 × 236 mm (plate); 479 × 360 mm (sheet),Etching and drypoint in warm black on ivory laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1039,103107,The Smoker II,A work made of drypoint in brown on ivory wove paper.,1879.0,1882.0,1879–82,"Édouard Manet
French, 1832-1883",France,235 × 153 mm (image); 237 × 153 mm (plate); 349 × 247 mm (sheet),Drypoint in brown on ivory wove paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,drypoint
1040,103108,Boy Blowing Soap Bubbles,A work made of etching in warm black on ivory wove paper.,1868.0,1869.0,late 1868/early 1869,"Édouard Manet
French, 1832-1883",France,196 × 163 mm (image); 252 × 213 mm (plate); 260 × 220 mm (sheet),Etching in warm black on ivory wove paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1041,103109,Line in Front of the Butcher Shop,A work made of etching in warm black on ivory laid paper.,1870.0,1871.0,1870–71,"Édouard Manet (French, 1832-1883)
printed by Henri Charles Guérard (French, 1846-1897)",France,169 × 150 mm (image); 236 × 158 mm (plate); 267 × 178 mm (sheet),Etching in warm black on ivory laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1042,103110,"Hat and Guitar, Frontispiece for the edition of fourteen etchings","A work made of etching, aquatint and drypoint in black on ivory wove paper.",1862.0,1863.0,1862–63,"Édouard Manet
French, 1832-1883",France,"331 × 225 mm (image); 434 × 296 mm (plate); 449 × 318 mm (sheet, folded); 450 × 630 mm (sheet, unfolded)","Etching, aquatint and drypoint in black on ivory wove paper",Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1043,103112,Odalisque,A work made of etching and aquatint in black on buff laid paper.,1868.0,1868.0,c. 1868,"Édouard Manet
French, 1832-1883",France,127 × 195 mm (image); 129 × 198 mm (plate); 218 × 289 mm (sheet),Etching and aquatint in black on buff laid paper,Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etching
1044,103113,Odalisque,A work made of etching and aquatint in warm black on buff wove paper.,1868.0,1868.0,c. 1868,"Édouard Manet
French, 1832-1883",France,122 × 192 mm (image); 129 × 200 mm (plate); 279 × 347 mm (sheet),Etching and aquatint in warm black on buff wove paper,Gift of Robert M. Light,Prints and Drawings,Édouard Manet,etching
1045,104227,Les Chats,"A work made of book with five etchings, two with aquatint and three with plate tone, one color lithograph, and line block prints, two with hand-coloring, with letterpress in black on ivory wove paper, with cardboard and paper cover and leather spine with gilt lettering.",1870.0,1870.0,1870,"Original prints by Édouard Manet (French, 1832–1883), Marie Champfleury (French, 19th century) after Burbanck (British, 19th century), Louis Eugène Lambert (French, 1825–1900), Armand Désiré Gautier (French, 1825–1894), and Victor Eugène Géruzez (Crafty) (French, 1840–1906)
illustrations by Charles Kreutzberger (French, 1829–1909), M. Mérimée (French, 19th century), Lorédan Larchey (French, 1831–1902), Prisse d'Avennes (French, 1807–1879), and Edmond Morin (French, 1824–1882)
some works etched by M. Comte (French, 19th century) and Firmin Gillot (French, 1820–1872) after works by Eugène Delacroix (French, 1798–1863), Gottfried Mind (Swiss, 1768–1814), Utagawa Hiroshige (erroneously attributed to Hokusai) (Japanese, 1797–1858), Pierre-Paul Prud'hon (French, 1758–1823), Théodule Augustin Ribot (French, 1823–1891), Cornelis Visscher (Dutch, c. 1629–1658), Jean Morin (French, 1600–1650), Jean Ignace Isadore Grandville (J.J. Grandville) (French, 1803–1847), Ferdinand van Kessel (Dutch, 1648–1696) (erroneously attributed to Bruegel) and Viollet-Le-Duc (French, 1814–1879)
written by Champfleury (Jules-François-Félix Husson-Fleury) (French, 1821–1889)
published by J. Rothschild (French, 19th century)
and Libraire de la Société Botanique de France (French, 19th century)
typography by Gustave Silbermann (French, 1801–1876)
printed by Cardart et Luce (French, 19th century)",France,"229 × 164 × 33 mm (book, closed); 229 × 347 × 35 mm (book, open)","Book with five etchings, two with aquatint and three with plate tone, one color lithograph, and line block prints, two with hand-coloring, with letterpress in black on ivory wove paper, with cardboard and paper cover and leather spine with gilt lettering",Helen Davis Bailey Endowment,Prints and Drawings,Édouard Manet,book
1046,104228,L'après-midi d'un faune,"A work made of book with four wood engravings in black on various laid and wove papers, two handcolored with pink wash, rebound and housed in slipcase.",1876.0,1876.0,1876,"Édouard Manet (French, 1832-1883)
poetry by Stéphane Mallarmé (French, 1842-1898)
published by Alphonse Derenne (French, born 1836)
bookbinding by Jacques Anthoine Legrain (French, born 1907)",France,"288 × 200 × 14 mm (book, closed); 288 × 403 × 15 mm (book, open); 292 × 202 × 14 mm (slipcase)","Book with four wood engravings in black on various laid and wove papers, two handcolored with pink wash, rebound and housed in slipcase",William McCallin McKee Memorial Endowment,Prints and Drawings,Édouard Manet,wood engraving
1047,105456,The Gypsies,A work made of etching in warm black on ivory laid paper.,1862.0,1862.0,1862,"Édouard Manet
French, 1832-1883",France,282 × 207 mm (image); 315 × 238 mm (plate); 537 × 349 mm (sheet),Etching in warm black on ivory laid paper,Prints and Drawings Purchase Fund,Prints and Drawings,Édouard Manet,etching
1048,109554,Dead Christ with Angels,"A work made of copperplate, etched and aquatinted.",1866.0,1867.0,1866-67,"Édouard Manet
French, 1832-1883",France,403 × 332 mm,"Copperplate, etched and aquatinted",Clarence Buckingham Collection,Prints and Drawings,Édouard Manet,etched plate
1049,109689,At the Café (unpublished plate),A work made of gillotage in black on ivory china paper.,1874.0,1874.0,1874,"Édouard Manet (French, 1832-1883)
printed by Lefman et Compagnie (French, 19th century)",France,270 × 339 mm (image); 325 × 482 mm (sheet),Gillotage in black on ivory China paper,Gift of Mr. and Mrs. Edward McCormick Blair and Stanley Field Fund,Prints and Drawings,Édouard Manet,relief etching
1050,111361,"Title Page and Text, from The Raven (Le Corbeau)","A work made of unbound book, three folded sheets, with letterpress in red and black on cream laid paper.",1875.0,1875.0,1875,"Édouard Manet (French, 1832-1883)
written by Edgar Allan Poe (American, 1809-1849)
translated and produced by Stéphane Mallarmé (French, 1842-1898)
published by Richard Lesclide (French, 1825-1892)
text printed by Alcan-Lévy (French, 19th century)",France,"557 × 365 × 5 mm (book, folded); 557 × 715 mm (book, unfolded)","Unbound book, three folded sheets, with letterpress in red and black on cream laid paper",Prints and Drawings Purchase Fund,Prints and Drawings,Édouard Manet,book
1051,111362,"Head of a Raven in Profile, from The Raven (Le Corbeau)",A work made of transfer lithograph in black on tan simili-parchment paper.,1875.0,1875.0,1875,"Édouard Manet (French, 1832-1883)
written by Edgar Allan Poe (American, 1809-1849)
translated and produced by Stéphane Mallarmé (French, 1842-1898)
printed by Lefman et Cie. (French, 19th century)
published by Richard Lesclide (French, 1825-1892)",France,163 × 159 mm (image); 550 × 412 mm (sheet folded),Transfer lithograph in black on tan simili-parchment paper,Prints and Drawings Purchase Fund,Prints and Drawings,Édouard Manet,gillotage
